"10540: Registrerte arbeidsledige (prosent), etter region, alder og måned"
"region";"alder";"Registrert helt arbeidsledige 1999M01";"Registrert helt arbeidsledige 1999M02";"Registrert helt arbeidsledige 1999M03";"Registrert helt arbeidsledige 1999M04";"Registrert helt arbeidsledige 1999M05";"Registrert helt arbeidsledige 1999M06";"Registrert helt arbeidsledige 1999M07";"Registrert helt arbeidsledige 1999M08";"Registrert helt arbeidsledige 1999M09";"Registrert helt arbeidsledige 1999M10";"Registrert helt arbeidsledige 1999M11";"Registrert helt arbeidsledige 1999M12";"Registrert helt arbeidsledige 2000M01";"Registrert helt arbeidsledige 2000M02";"Registrert helt arbeidsledige 2000M03";"Registrert helt arbeidsledige 2000M04";"Registrert helt arbeidsledige 2000M05";"Registrert helt arbeidsledige 2000M06";"Registrert helt arbeidsledige 2000M07";"Registrert helt arbeidsledige 2000M08";"Registrert helt arbeidsledige 2000M09";"Registrert helt arbeidsledige 2000M10";"Registrert helt arbeidsledige 2000M11";"Registrert helt arbeidsledige 2000M12";"Registrert helt arbeidsledige 2001M01";"Registrert helt arbeidsledige 2001M02";"Registrert helt arbeidsledige 2001M03";"Registrert helt arbeidsledige 2001M04";"Registrert helt arbeidsledige 2001M05";"Registrert helt arbeidsledige 2001M06";"Registrert helt arbeidsledige 2001M07";"Registrert helt arbeidsledige 2001M08";"Registrert helt arbeidsledige 2001M09";"Registrert helt arbeidsledige 2001M10";"Registrert helt arbeidsledige 2001M11";"Registrert helt arbeidsledige 2001M12";"Registrert helt arbeidsledige 2002M01";"Registrert helt arbeidsledige 2002M02";"Registrert helt arbeidsledige 2002M03";"Registrert helt arbeidsledige 2002M04";"Registrert helt arbeidsledige 2002M05";"Registrert helt arbeidsledige 2002M06";"Registrert helt arbeidsledige 2002M07";"Registrert helt arbeidsledige 2002M08";"Registrert helt arbeidsledige 2002M09";"Registrert helt arbeidsledige 2002M10";"Registrert helt arbeidsledige 2002M11";"Registrert helt arbeidsledige 2002M12"
"1101 Eigersund";"15-74 år";1.5;1.5;1.3;1.8;1.3;1.4;2.0;2.4;1.9;1.6;1.5;1.6;2.1;1.9;2.0;2.7;2.6;3.3;4.9;3.7;3.1;2.6;2.6;3.0;2.8;2.6;2.6;2.7;2.3;2.1;2.7;2.6;2.2;2.0;2.0;2.1;2.3;2.2;2.1;2.3;2.0;1.7;2.4;2.4;2.1;2.1;3.0;2.9
"1102 Sandnes (-2019)";"15-74 år";2.2;2.2;2.2;2.1;2.0;2.3;2.7;2.7;2.4;2.4;2.5;2.4;2.9;2.7;2.6;2.7;2.8;2.8;3.1;3.2;3.1;3.1;3.2;3.3;3.3;3.1;3.1;2.8;2.6;2.6;2.7;2.9;2.8;2.9;3.0;3.0;3.5;3.1;3.1;3.0;2.9;2.9;3.3;3.4;3.2;3.3;3.2;3.3
"1103 Stavanger";"15-74 år";2.6;2.5;2.6;2.5;2.3;2.6;3.0;3.2;2.9;3.0;2.9;3.0;3.4;3.2;3.3;3.5;3.6;3.9;4.1;4.2;4.0;4.0;3.8;3.9;4.1;3.7;3.5;3.3;3.1;3.2;3.5;3.7;3.7;3.6;3.6;3.7;4.1;3.8;3.8;3.8;3.7;3.9;4.3;4.4;4.1;4.2;4.2;4.2
"1106 Haugesund";"15-74 år";2.5;2.6;2.4;2.5;2.2;2.6;3.2;3.9;4.0;4.1;3.9;4.1;5.2;4.9;4.8;4.1;4.6;4.5;5.1;5.0;4.7;4.9;5.0;5.1;5.5;4.9;4.6;4.1;4.0;4.4;4.7;4.8;4.5;4.4;4.4;4.4;4.9;4.6;4.7;4.4;4.3;4.4;4.9;4.6;4.4;4.2;4.3;4.3
"1108 Sandnes";"15-74 år";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"1111 Sokndal";"15-74 år";2.7;2.2;2.6;2.1;1.6;2.0;2.3;2.4;1.9;2.0;2.0;2.0;2.8;3.7;3.3;2.7;2.4;3.7;4.4;4.4;4.4;4.3;4.4;4.5;4.3;4.1;3.9;3.7;3.5;3.3;3.0;3.2;3.4;2.8;3.3;3.9;4.5;4.2;3.7;3.0;2.7;2.7;3.7;3.4;3.0;3.4;3.9;4.1
"1112 Lund";"15-74 år";1.0;1.2;0.8;0.8;0.8;0.9;1.6;1.3;0.9;0.8;1.1;0.9;1.6;1.8;1.6;1.6;1.6;2.0;2.3;1.9;1.5;1.4;1.6;1.8;2.1;1.7;1.5;1.1;1.3;1.5;2.0;1.6;1.8;1.5;2.1;1.9;2.1;1.5;1.7;1.4;1.2;1.1;1.8;1.8;1.8;1.6;1.8;1.5
"1114 Bjerkreim";"15-74 år";0.8;1.4;0.8;1.1;0.7;0.8;0.8;0.9;1.0;0.4;0.6;0.9;1.4;1.3;1.0;1.0;1.1;1.7;1.4;1.7;1.5;1.4;1.5;1.4;1.4;1.4;1.1;1.2;1.1;1.3;1.5;1.2;1.3;1.1;1.3;1.2;1.3;1.1;1.2;1.1;1.1;1.1;1.1;1.5;1.2;1.4;1.7;1.8
"1119 Hå";"15-74 år";1.0;0.9;1.0;0.9;0.8;0.9;1.0;1.2;1.1;1.2;1.2;1.3;1.5;1.4;1.3;1.4;1.3;1.7;1.8;1.8;1.9;2.4;2.3;2.1;2.0;1.6;1.7;1.4;1.3;1.2;1.4;1.4;1.3;1.2;1.3;1.3;1.7;1.5;1.4;1.4;1.2;1.3;1.6;1.7;1.8;1.7;1.4;1.6
"1120 Klepp";"15-74 år";1.3;1.3;1.0;1.2;1.1;1.2;1.5;1.3;1.2;1.3;1.3;1.4;1.7;1.7;1.6;1.4;1.5;1.8;1.7;2.0;1.9;2.0;3.7;3.2;2.4;2.0;1.9;1.5;1.4;1.4;1.7;1.8;1.6;1.7;2.0;2.0;2.3;2.1;2.2;2.0;1.8;1.9;2.1;2.1;2.1;2.0;1.9;2.0
"1121 Time";"15-74 år";1.3;1.3;1.3;1.2;1.0;1.3;1.6;1.6;1.3;1.3;1.3;1.3;1.8;1.6;1.6;1.5;1.6;1.6;2.3;2.2;2.0;2.0;4.8;4.0;2.1;1.9;1.8;1.3;1.2;1.2;1.5;1.6;1.9;2.0;1.9;1.8;1.9;2.1;2.0;1.9;1.9;1.9;2.3;2.3;2.1;2.0;2.2;2.1
"1122 Gjesdal";"15-74 år";1.3;1.2;1.2;1.0;1.4;1.4;1.4;1.5;1.7;1.5;1.3;1.6;2.0;2.0;1.9;2.1;1.8;1.9;2.1;2.2;2.0;2.1;2.7;2.6;2.3;2.0;1.9;1.7;1.5;1.5;1.7;1.9;2.0;2.1;1.7;1.9;2.2;1.9;2.1;2.1;1.8;1.8;2.2;2.2;1.8;2.3;2.5;2.7
"1124 Sola";"15-74 år";1.7;1.6;1.7;1.7;1.5;1.8;2.1;2.1;2.1;2.0;2.0;2.2;2.5;2.4;2.3;2.1;2.1;2.4;2.7;2.5;2.4;2.5;2.4;2.5;2.6;2.5;2.4;2.0;2.0;2.0;2.4;2.5;2.6;2.3;2.3;2.4;2.8;2.8;2.8;2.6;2.6;2.6;3.0;3.3;3.3;3.1;3.3;3.1
"1127 Randaberg";"15-74 år";1.1;1.0;1.1;1.1;1.0;1.1;1.3;1.5;1.6;1.5;1.6;1.4;1.9;1.6;1.8;1.7;1.6;2.0;2.2;2.1;2.0;1.7;1.8;2.0;2.1;1.8;1.4;1.5;1.5;1.6;1.7;1.7;1.8;1.7;1.8;1.8;2.3;2.0;2.1;1.8;1.9;2.3;2.4;2.2;2.1;2.3;2.5;2.6
"1129 Forsand (-2019)";"15-74 år";1.7;1.3;1.5;1.5;0.8;1.0;0.8;1.0;1.1;1.3;1.1;1.5;1.5;1.1;2.0;1.9;1.5;1.3;1.7;2.4;2.2;2.4;1.9;2.4;1.9;1.7;2.3;1.3;1.9;2.1;2.3;2.4;1.5;1.3;1.3;1.9;1.8;1.8;1.6;1.2;1.8;1.6;1.8;2.1;3.1;2.7;2.5;2.3
"1130 Strand";"15-74 år";1.6;1.8;1.6;1.8;1.4;1.5;2.5;2.2;2.1;2.4;2.1;3.7;3.1;2.8;2.6;2.4;2.6;2.9;3.0;3.0;2.6;3.0;3.0;3.7;3.9;3.5;3.1;2.7;2.0;2.1;2.7;2.8;2.5;2.6;2.8;2.9;3.6;3.7;3.6;3.0;3.0;3.1;3.6;3.5;3.1;3.4;3.8;4.8
"1133 Hjelmeland";"15-74 år";1.0;1.0;1.2;1.0;0.6;0.6;1.2;1.1;1.0;0.9;0.7;0.8;1.9;1.3;1.4;1.5;1.5;1.0;1.7;1.0;0.8;1.0;1.1;1.4;2.0;1.2;1.4;1.2;0.6;0.8;0.8;0.8;1.0;1.0;1.5;1.6;2.5;1.4;1.7;2.0;2.2;1.5;1.3;1.5;1.6;2.8;1.8;1.8
